name,original_price,discounted_price,rating,rating_number,link
"Moto G (3rd Generation) (White, 16 GB)  (2 GB RAM)","10,999","10,999",4.3,"2,00,035",https://www.flipkart.com/moto-g-3rd-generation-white-16-gb/p/itmevt7xpsh38yhy?pid=MOBE6KK9YZJBYGUC&lid=LSTMOBE6KK9YZJBYGUCWBZP5G&marketplace=FLIPKART&srno=s_19_452&otracker=search&fm=organic&iid=bd583aed-3d31-404b-901e-91fb1ef32b50.MOBE6KK9YZJBYGUC.SEARCH&ssid=zfwcj21l9c0000001586926562237&qH=1036ba3c4ed2c021
"Tecno Camon i4 (Nebula Black, 32 GB)  (3 GB RAM)","12,430","12,425",3.8,73,https://www.flipkart.com/tecno-camon-i4-nebula-black-32-gb/p/itmffthj5yrmagms?pid=MOBFESRFBZDGD2JV&lid=LSTMOBFESRFBZDGD2JVGTWEIW&marketplace=FLIPKART&srno=s_23_535&otracker=search&fm=organic&iid=0b21f543-7eab-4104-adac-629a9d3ae850.MOBFESRFBZDGD2JV.SEARCH&ssid=q2q9c51ggg0000001586926560182&qH=1036ba3c4ed2c021
"Redmi Note 8 Pro (Gamma Green, 64 GB)  (6 GB RAM)","16,999","14,849",4.5,"15,988",https://www.flipkart.com/redmi-note-8-pro-gamma-green-64-gb/p/itmb5a411e20719e?pid=MOBFHHRQDRRMKU94&lid=LSTMOBFHHRQDRRMKU944TKUNK&marketplace=FLIPKART&srno=s_4_80&otracker=search&fm=organic&iid=952d63c0-869f-4922-93ee-7875cce07b3d.MOBFHHRQDRRMKU94.SEARCH&ssid=05rijs4j4w0000001586926554582&qH=1036ba3c4ed2c021
"Apple iPhone 6s (Space Grey, 32 GB)","29,900","25,299",4.5,"91,364",https://www.flipkart.com/apple-iphone-6s-space-grey-32-gb/p/itmen2yyjfzpspyg?pid=MOBEN2YYKU9386TQ&lid=LSTMOBEN2YYKU9386TQCCN1OM&marketplace=FLIPKART&srno=s_10_240&otracker=search&fm=organic&iid=3bde488b-5f0f-4099-86f7-d07b607d9fd5.MOBEN2YYKU9386TQ.SEARCH&ssid=apxc2txov40000001586926558982&qH=1036ba3c4ed2c021
"Lava Z41 (Midnight Blue, 16 GB)  (1 GB RAM)","4,999","4,199",4,38,https://www.flipkart.com/lava-z41-midnight-blue-16-gb/p/itm22f4d7d384874?pid=MOBFHF5EDMJYEUQW&lid=LSTMOBFHF5EDMJYEUQWK51YH5&marketplace=FLIPKART&srno=s_17_407&otracker=search&fm=organic&iid=73eaf9c2-17b2-4b2a-918b-029a2f4d506d.MOBFHF5EDMJYEUQW.SEARCH&ssid=1g8afpin1c0000001586926557812&qH=1036ba3c4ed2c021
"I Kall K110 (Blue, 16 GB)  (2 GB RAM)","6,999","3,499",3.7,319,https://www.flipkart.com/kall-k110-blue-16-gb/p/itm6b16206dff899?pid=MOBFNGWCZNUTR94A&lid=LSTMOBFNGWCZNUTR94ALXFL38&marketplace=FLIPKART&srno=s_22_513&otracker=search&fm=organic&iid=f830f1cc-5678-4552-9eef-fb8f4cccaaec.MOBFNGWCZNUTR94A.SEARCH&ssid=j7e12mwe000000001586926558397&qH=1036ba3c4ed2c021
"Samsung Galaxy M30 (Gradation Blue, 64 GB)  (4 GB RAM)","12,673","12,279",4.4,"3,387",https://www.flipkart.com/samsung-galaxy-m30-gradation-blue-64-gb/p/itmfehwz8b6bsvae?pid=MOBFEHSMHMYUMWYK&lid=LSTMOBFEHSMHMYUMWYKPXB4N5&marketplace=FLIPKART&srno=s_5_97&otracker=search&fm=organic&iid=15a09bb9-81a6-4a61-a7c9-b1adb7aedc1f.MOBFEHSMHMYUMWYK.SEARCH&ssid=q7fnt4mzxs0000001586926557092&qH=1036ba3c4ed2c021
"Realme 6 Pro (Lightning Orange, 128 GB)  (8 GB RAM)","19,999","19,999",4.5,"2,726",https://www.flipkart.com/realme-6-pro-lightning-orange-128-gb/p/itmddcf565f06b39?pid=MOBFPCX7FCHNRHVW&lid=LSTMOBFPCX7FCHNRHVWOIHIBL&marketplace=FLIPKART&srno=s_8_174&otracker=search&fm=organic&iid=eb0fd53b-e25f-4548-9917-c80957941831.MOBFPCX7FCHNRHVW.SEARCH&ssid=zcfy0xaw9s0000001586926555352&qH=1036ba3c4ed2c021
"Nokia 6.1 Plus (Black, 64 GB)  (6 GB RAM)","20,499","11,999",4.1,"1,632",https://www.flipkart.com/nokia-6-1-plus-black-64-gb/p/itmf8r36g9gfpafg?pid=MOBF8FCFAR2ZYKDU&lid=LSTMOBF8FCFAR2ZYKDUDGZOR5&marketplace=FLIPKART&srno=s_22_505&otracker=search&fm=organic&iid=f830f1cc-5678-4552-9eef-fb8f4cccaaec.MOBF8FCFAR2ZYKDU.SEARCH&ssid=j7e12mwe000000001586926558397&qH=1036ba3c4ed2c021
"I Kall K4 (Sea Blue, 16 GB)  (2 GB RAM)","5,999","3,699",3.5,"1,820",https://www.flipkart.com/kall-k4-sea-blue-16-gb/p/itmfggwpfhzgf668?pid=MOBFGBHHUGSZHF2W&lid=LSTMOBFGBHHUGSZHF2WRIORCG&marketplace=FLIPKART&srno=s_5_98&otracker=search&fm=organic&iid=15a09bb9-81a6-4a61-a7c9-b1adb7aedc1f.MOBFGBHHUGSZHF2W.SEARCH&ssid=q7fnt4mzxs0000001586926557092&qH=1036ba3c4ed2c021
"Apple iPhone 11 (Red, 64 GB)","68,300","68,300",4.7,"10,785",https://www.flipkart.com/apple-iphone-11-red-64-gb/p/itmc3e231769bc6f?pid=MOBFKCTSMSYH9YY8&lid=LSTMOBFKCTSMSYH9YY8TPE8O9&marketplace=FLIPKART&srno=s_10_217&otracker=search&fm=organic&iid=3bde488b-5f0f-4099-86f7-d07b607d9fd5.MOBFKCTSMSYH9YY8.SEARCH&ssid=apxc2txov40000001586926558982&qH=1036ba3c4ed2c021
"OPPO Reno2 (Ocean Blue, 256 GB)  (8 GB RAM)","39,990","38,990",4.5,"1,210",https://www.flipkart.com/oppo-reno2-ocean-blue-256-gb/p/itmda87752a48a36?pid=MOBFJY8YRNGGZPVD&lid=LSTMOBFJY8YRNGGZPVDUGG2GJ&marketplace=FLIPKART&srno=s_16_370&otracker=search&fm=organic&iid=0e76ab2e-3ecf-4ab2-88c9-b66c6c8f9838.MOBFJY8YRNGGZPVD.SEARCH&ssid=hx1qjuvxls0000001586926555617&qH=1036ba3c4ed2c021
"Itel S21 (Gold, 16 GB)  (1 GB RAM)","6,490","4,088",4,20,https://www.flipkart.com/itel-s21-gold-16-gb/p/itmf5bfnbeyrgzez?pid=MOBF5AG3FZZQNKYM&lid=LSTMOBF5AG3FZZQNKYMFYMESW&marketplace=FLIPKART&srno=s_22_508&otracker=search&fm=organic&iid=f830f1cc-5678-4552-9eef-fb8f4cccaaec.MOBF5AG3FZZQNKYM.SEARCH&ssid=j7e12mwe000000001586926558397&qH=1036ba3c4ed2c021
"OPPO F11 Pro (Aurora Green, 64 GB)  (6 GB RAM)","28,990","16,890",4.4,"1,11,027",https://www.flipkart.com/oppo-f11-pro-aurora-green-64-gb/p/itmfe6k2gurv2a3p?pid=MOBFE6KFGD6YT27Z&lid=LSTMOBFE6KFGD6YT27ZCHQH7H&marketplace=FLIPKART&srno=s_4_88&otracker=search&fm=organic&iid=952d63c0-869f-4922-93ee-7875cce07b3d.MOBFE6KFGD6YT27Z.SEARCH&ssid=05rijs4j4w0000001586926554582&qH=1036ba3c4ed2c021
"Realme 3 (Black, 32 GB)  (3 GB RAM)","10,999","8,499",4.4,"4,29,621",https://www.flipkart.com/realme-3-black-32-gb/p/itmfe68wrbfnzqwz?pid=MOBFE68WZFKSZNMG&lid=LSTMOBFE68WZFKSZNMG8BQ5TM&marketplace=FLIPKART&srno=s_8_176&otracker=search&fm=organic&iid=eb0fd53b-e25f-4548-9917-c80957941831.MOBFE68WZFKSZNMG.SEARCH&ssid=zcfy0xaw9s0000001586926555352&qH=1036ba3c4ed2c021
"Samsung Galaxy A20 (Gold, 32 GB)  (3 GB RAM)","12,900","11,099",4.3,"14,975",https://www.flipkart.com/samsung-galaxy-a20-gold-32-gb/p/itmfhhqg5mxczxc9?pid=MOBFHCRGDFASPZRA&lid=LSTMOBFHCRGDFASPZRATM86NR&marketplace=FLIPKART&srno=s_18_429&otracker=search&fm=organic&iid=6456e671-4335-48ba-b860-54271565228e.MOBFHCRGDFASPZRA.SEARCH&ssid=f5k5niz0ds0000001586926559861&qH=1036ba3c4ed2c021
"LG Q60 (New Moroccan Blue, 64 GB)  (3 GB RAM)","16,000","12,999",3.5,4,https://www.flipkart.com/lg-q60-new-moroccan-blue-64-gb/p/itm23e6bd57f0cce?pid=MOBFH8ZBHDZBEJD6&lid=LSTMOBFH8ZBHDZBEJD64AQVHE&marketplace=FLIPKART&srno=s_20_465&otracker=search&fm=organic&iid=89dae1c5-4b27-4f3b-a8ef-5f1354b41ba1.MOBFH8ZBHDZBEJD6.SEARCH&ssid=2yz77yr7f40000001586926554439&qH=1036ba3c4ed2c021
"Vivo Y91i (Ocean Blue, 32 GB)  (2 GB RAM)","9,990","7,990",4.3,"12,871",https://www.flipkart.com/vivo-y91i-ocean-blue-32-gb/p/itmff6vsadyrbauf?pid=MOBFEFCPGZZWYNRY&lid=LSTMOBFEFCPGZZWYNRYKAJG2F&marketplace=FLIPKART&srno=s_4_95&otracker=search&fm=organic&iid=952d63c0-869f-4922-93ee-7875cce07b3d.MOBFEFCPGZZWYNRY.SEARCH&ssid=05rijs4j4w0000001586926554582&qH=1036ba3c4ed2c021
"Apple iPhone 11 (Red, 128 GB)","73,600","73,600",4.7,"10,785",https://www.flipkart.com/apple-iphone-11-red-128-gb/p/itmfb0dabc53df3f?pid=MOBFKCTS3ZVSZ3WP&lid=LSTMOBFKCTS3ZVSZ3WPLKGDHP&marketplace=FLIPKART&srno=s_10_232&otracker=search&fm=organic&iid=3bde488b-5f0f-4099-86f7-d07b607d9fd5.MOBFKCTS3ZVSZ3WP.SEARCH&ssid=apxc2txov40000001586926558982&qH=1036ba3c4ed2c021
"Nokia 2.2 (Steel, 16 GB)  (2 GB RAM)","9,099","5,799",4,"2,101",https://www.flipkart.com/nokia-2-2-steel-16-gb/p/itmfh54wb9a5bhnt?pid=MOBFH54VKXMQMFPC&lid=LSTMOBFH54VKXMQMFPCKDG4NJ&marketplace=FLIPKART&srno=s_19_441&otracker=search&fm=organic&iid=bd583aed-3d31-404b-901e-91fb1ef32b50.MOBFH54VKXMQMFPC.SEARCH&ssid=zfwcj21l9c0000001586926562237&qH=1036ba3c4ed2c021
"Comio C1 4G (Space Black, 32 GB)  (1 GB RAM)","4,995","4,995",3.8,166,https://www.flipkart.com/comio-c1-4g-space-black-32-gb/p/itmexnv6fjjtdsav?pid=MOBEXNV6CYSEFP98&lid=LSTMOBEXNV6CYSEFP98CROFM3&marketplace=FLIPKART&srno=s_23_546&otracker=search&fm=organic&iid=0b21f543-7eab-4104-adac-629a9d3ae850.MOBEXNV6CYSEFP98.SEARCH&ssid=q2q9c51ggg0000001586926560182&qH=1036ba3c4ed2c021
"Redmi 7A (Matte Gold, 32 GB)  (2 GB RAM)","6,999","6,699",4.3,"3,50,754",https://www.flipkart.com/redmi-7a-matte-gold-32-gb/p/itmfhz4cfwesj6qh?pid=MOBFHZ4BYCMVJHVU&lid=LSTMOBFHZ4BYCMVJHVULENQ96&marketplace=FLIPKART&srno=s_6_128&otracker=search&fm=organic&iid=83df86fa-e3ee-47d2-a6a3-cca53df8c67f.MOBFHZ4BYCMVJHVU.SEARCH&ssid=s5oh2kcc5s0000001586926558778&qH=1036ba3c4ed2c021
